iter	Passed	Remaining
903	72345	7682
904	72421	7602
905	72507	7522
906	72586	7442
907	72668	7362
908	72744	7282
909	72817	7201
910	72906	7122
911	72999	7043
912	73084	6964
913	73172	6884
914	73259	6805
915	73337	6725
916	73435	6646
917	73533	6568
918	73629	6489
919	73704	6409
920	73764	6327
921	73868	6249
922	73962	6170
923	74063	6091
924	74146	6011
925	74231	5932
926	74326	5853
927	74412	5773
928	74514	5694
929	74594	5614
930	74686	5535
931	74786	5456
932	74898	5378
933	74981	5298
934	75076	5219
935	75173	5140
936	75274	5061
937	75355	4980
938	75467	4902
939	75581	4824
940	75676	4744
941	75787	4666
942	75883	4586
943	75979	4507
944	76091	4428
945	76202	4349
946	76320	4271
947	76447	4193
948	76553	4114
949	76634	4033
950	76735	3953
951	76835	3874
952	76944	3794
953	77021	3713
954	77117	3633
955	77217	3553
956	77311	3473
957	77412	3393
958	77492	3313
959	77582	3232
960	77665	3151
961	77751	3071
962	77827	2990
963	77897	2909
964	77951	2827
965	78011	2745
966	78084	2664
967	78152	2583
968	78239	2503
969	78305	2421
970	78388	2341
971	78460	2260
972	78543	2179
973	78610	2098
974	78684	2017
975	78760	1936
976	78844	1856
977	78947	1775
978	79024	1695
979	79098	1614
980	79171	1533
981	79255	1452
982	79338	1372
983	79411	1291
984	79500	1210
985	79574	1129
986	79655	1049
987	79747	968
988	79851	888
989	79955	807
990	80047	726
991	80135	646
992	80216	565
993	80305	484
994	80380	403
995	80469	323
996	80541	242
997	80609	161
998	80698	80
999	80783	0
